"","station","lat","lng","period1_2019","period2_2019","period1_2020","period2_2020","period1","period2","periodType1","periodType2"
"1","가락시장",37.492522,127.118234,2889783,3224933,2374450,2548334,0.821670692920541,0.790197501777556,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"2","가산디지털단지",37.481072,126.882343,9382470,8828258,8678923,7959886,0.925014734925878,0.901637219936255,"Type 1: Over 0.9","Type 1: Over 0.9"
"3","강남",37.497175,127.027926,13129469,19283117,10779680,14010677,0.821029395781353,0.72657739928664,"Type 2: 0.8 to 0.9","Type 3: 0.7 to 0.8"
"4","강남구청",37.517186,127.04128,3176565,2851645,2824100,2499888,0.889042094211829,0.876647689316167,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"5","강동",37.535804,127.132481,3594764,3207479,3124353,2805091,0.869139949103752,0.874546957283274,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"6","강동구청",37.530341,127.120508,2028231,1838557,1720218,1545100,0.848137120475922,0.84038732549494,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"7","개롱",37.498079,127.13482,1278301,1198252,972815,944285,0.761021856354646,0.788052095886341,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"8","개화산",37.572399,126.806171,1110929,1001680,812025,736507,0.730942301443206,0.735271743470969,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"9","거여",37.493105,127.14415,1461021,1226872,1188132,1056173,0.813220343855427,0.860866496260409,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"10","건대입구",37.540693,127.07023,6716833,12346495,5116117,8399689,0.761685901674197,0.680329842599053,"Type 3: 0.7 to 0.8","Type 4: Under 0.7"
"11","경찰병원",37.495918,127.12454,1537815,1274214,1267835,1042438,0.82443922058245,0.81810276766697,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"12","고덕",37.555004,127.154151,1616132,1574901,1196287,1216696,0.74021614571087,0.772553957359859,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"13","고속터미널",37.50481,127.004943,7561665,14392541,5315182,8990590,0.702911594205773,0.624670098212678,"Type 3: 0.7 to 0.8","Type 4: Under 0.7"
"14","공덕",37.544018,126.951592,6090021,6483699,5106907,5290907,0.838569686377108,0.816032175460335,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"15","광명사거리",37.479252,126.854876,4384406,4459644,3384185,3472680,0.771868526774208,0.778689958211911,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"16","구로디지털단지",37.485266,126.901401,12032828,11738637,10228650,9691605,0.850062013684564,0.825615870053738,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"17","구산",37.611377,126.91727,1344127,1033319,1052685,823730,0.783173762598326,0.797169122023305,"Type 3: 0.7 to 0.8","Type 3: 0.7 to 0.8"
"18","구파발",37.636763,126.918821,3861493,3470427,3134999,2800853,0.811861888652912,0.807062934906857,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
"19","금호",37.548034,127.015872,1453999,1388346,1156771,1147357,0.795578951567367,0.826420071077383,"Type 3: 0.7 to 0.8","Type 2: 0.8 to 0.9"
"20","길동",37.537801,127.140004,1236587,1343617,1067060,1151711,0.862907340931127,0.857172095917215,"Type 2: 0.8 to 0.9","Type 2: 0.8 to 0.9"
