지하철역,time_04_05,time_05_06,time_06_07,time_07_08,time_08_09,time_09_10,time_10_11,time_11_12,time_12_13,time_13_14,time_14_15,time_15_16,time_16_17,time_17_18,time_18_19,time_19_20,time_20_21,time_21_22,time_22_23,time_23_24,time_00_01,time_01_02,time_02_03,time_03_04
4.19민주묘지,30,16206,42121,94422,144400,106606,87483,88531,95360,99667,97909,104156,109621,114492,125919,110141,68047,55819,42878,27408,2209,13,8,0
가능,5048,106999,177242,317456,379905,228460,177333,167859,182222,182304,161197,183678,204342,259692,320084,279096,174470,145009,116094,79241,16279,0,0,0
가락시장,362,91685,263206,582345,1127643,648080,498869,486096,487705,511656,534252,581017,617701,750183,1126209,653919,452420,415848,323272,160247,42349,1648,20,0
가산디지털단지,20584,266601,562065,2218558,6424839,3575371,1157897,898044,944646,1043901,1057634,1166749,1406520,3100504,5452025,2591907,1453380,1200523,730271,324410,32956,71,12,0
가양,545,178253,368676,1020187,1235248,717102,471555,476983,491581,518877,510194,551388,648244,804547,1192056,890132,542682,491814,403427,229755,28767,599,2,0
가오리,50,27118,76425,194977,230276,144049,115494,110203,115832,116586,116812,125360,136212,149536,189458,176751,105576,84922,67689,37579,3266,17,0,0
가좌,3,27968,107816,247777,335788,181058,136669,126633,138733,146509,145334,153540,180895,201663,265542,217114,126680,99750,82695,52431,8487,8,0,0
가천대,418,67682,113719,254032,445192,287672,198628,175762,210504,212077,209249,219748,276645,342238,395359,303402,216024,207487,191030,121440,11877,4,0,0
가평,5,9504,27658,51573,88040,67791,72749,104665,94685,73247,83735,81211,76041,85989,84595,50112,36753,28732,19883,11671,3488,0,0,0
간석,3886,72357,147893,300254,303393,177004,136647,145042,150554,155169,148225,163946,187299,228822,298555,262405,165827,144500,117704,79400,21928,13,0,0
갈매,108,20927,58859,213249,162496,88469,66445,49938,59026,59952,63430,68588,71734,98217,153516,127081,77038,57007,52010,27762,7155,0,0,0
강남,2162,264111,824773,2117598,4329851,4306633,2243751,1992698,2173498,2677047,2548902,2757756,2975989,4104557,5997962,3877789,2532743,2660407,2407813,1025577,75620,574,33,0
강남구청,379,59443,251023,643997,1956228,1665073,750147,572410,567505,642634,647198,701530,747159,1058581,1897688,1143339,675134,626646,457869,196741,21113,38,2,1
강동,623,141981,376447,974887,1377593,736241,475598,434339,465027,489583,481123,513857,583870,828914,1158326,783212,480511,426934,362752,213497,34510,72,0,0
강동구청,381,63089,172126,473894,834016,405071,251381,229734,242482,265236,265048,276286,327891,421281,687666,428542,263681,233665,194761,92164,15220,48,0,0
강매,3,23837,70308,195835,205573,87661,59466,55335,58171,58324,55460,60391,72014,95199,143832,129585,76160,61213,54581,32296,11145,10,0,0
강변(동서울터미널),225,127445,529840,1143591,1756880,1325493,1026778,962440,1011161,1063750,1068163,1149297,1257460,1484258,2020577,1520689,1051362,863613,706847,343976,31997,226,11,0
강촌,21,1085,3653,6846,22047,20493,25965,31537,22916,22008,23757,27281,28545,25945,21201,12433,7812,6193,3619,2940,373,0,0,0
개롱,1,49860,121380,343879,404429,218071,153349,145149,166351,171484,165575,187257,221812,275244,369549,293727,163298,150642,132680,71313,15341,36,0,0
개봉,14019,271754,530974,1156295,1206628,740076,523530,503828,560551,545260,551030,596426,706335,957172,1349166,999049,622326,556511,435503,244026,33649,24,0,0
개포동,27,15095,74760,142157,195813,132812,95932,80487,97981,102000,101310,103189,124122,158577,195971,142728,91327,84788,78997,40451,2739,7,0,0
개화,79,24630,84484,167626,150794,68019,47970,48266,48242,47419,45593,53687,65800,91166,124469,88569,55860,41562,26241,14895,3076,192,1,0
개화산,19,42912,123745,277880,350335,169446,127685,125075,139126,140859,140157,149614,169774,208183,294000,223189,134567,120056,106815,53655,12294,299,4,0
거여,6,59023,196224,428793,492198,259233,179144,163071,181002,188854,186776,210995,268363,327256,405578,316494,179474,165085,141333,74297,15634,38,0,0
건대입구,3877,277536,581078,1202216,2260694,1618452,1113496,1115480,1310024,1475209,1517949,1659831,1879314,2461654,3391797,2495183,1863178,1775662,1598450,898613,128624,4245,22,0
검암,7814,85205,192519,506016,467493,204487,139097,134463,144120,141816,137897,145914,186157,251064,450607,371063,226650,188103,175566,102145,49221,83,0,0
경기광주,3,26987,151008,403601,450855,230961,150098,144238,153263,156942,148320,163313,201043,263955,404565,340890,207282,171938,106829,71112,409,0,0,0
