"","station","lat","lng","toWorkRate","fromWorkRate","totalWorkRate","weekendRate","weekdayType","weekendType"
"1","가락시장",37.492522,127.118234,0.839643113376232,0.816034589931928,0.826524344607952,0.689488658772884,"Between","< 0.7 "
"2","가산디지털단지",37.481072,126.882343,0.919652923467562,0.926777801092808,0.923523490419818,0.671998586700685,"> 0.9","< 0.7 "
"3","강남",37.497175,127.027926,0.840312687545271,0.763125120633846,0.789146628186363,0.579289783450995,"Between","< 0.7 "
"4","강남구청",37.517186,127.04128,0.884788629711378,0.903133012953823,0.895041194112172,0.708493655002664,"Between","Between"
"5","강동",37.535804,127.132481,0.895669424236244,0.912897994437213,0.904023102325937,0.689973000714558,"> 0.9","< 0.7 "
"6","강동구청",37.530341,127.120508,0.869704496053876,0.870091495482738,0.869896653576098,0.68403998262644,"Between","< 0.7 "
"7","개롱",37.498079,127.13482,0.789552908082738,0.814559938075925,0.801994767172943,0.661064146021936,"Between","< 0.7 "
"8","개화산",37.572399,126.806171,0.749404227291779,0.747987482695863,0.748727448893256,0.685188681048738,"Between","< 0.7 "
"9","거여",37.493105,127.14415,0.853858963341437,0.890539925410312,0.870774364606241,0.717626627537659,"Between","Between"
"10","건대입구",37.540693,127.07023,0.800743396574142,0.711074697880647,0.74030365061819,0.590479214728055,"Between","< 0.7 "
"11","경찰병원",37.495918,127.12454,0.845423213679242,0.846085218919128,0.84574602440381,0.668997493261964,"Between","< 0.7 "
"12","고덕",37.555004,127.154151,0.78603715282607,0.794781730411733,0.790418856815729,0.643669588501513,"Between","< 0.7 "
"13","고속터미널",37.50481,127.004943,0.764443778629253,0.667557228320471,0.696547604458759,0.527832361602096,"< 0.7","< 0.7 "
"14","공덕",37.544018,126.951592,0.837923751711513,0.840416705905834,0.839305121118875,0.650999260200091,"Between","< 0.7 "
"15","광명사거리",37.479252,126.854876,0.801911040936213,0.811471712711389,0.80681323003219,0.656530493111923,"Between","< 0.7 "
"16","구로디지털단지",37.485266,126.901401,0.876258504470614,0.859121123521754,0.867034072300238,0.641772587637442,"Between","< 0.7 "
"17","구산",37.611377,126.91727,0.812150763694771,0.822232578657521,0.816612653936282,0.679112840240418,"Between","< 0.7 "
"18","구파발",37.636763,126.918821,0.839274832668145,0.842246189936456,0.840690567814192,0.68173765731299,"Between","< 0.7 "
"19","금호",37.548034,127.015872,0.821745760855421,0.858485437511105,0.840642583573691,0.701828497401239,"Between","Between"
"20","길동",37.537801,127.140004,0.880453908973665,0.882160383938327,0.881377010646003,0.736928667445408,"Between","Between"
"21","길음",37.603407,127.025053,0.793181077980731,0.795361990658472,0.794268969302495,0.625930362573687,"Between","< 0.7 "
"22","김포공항",37.562434,126.801058,0.74214834324286,0.727830062230303,0.733019595379787,0.694951996731692,"Between","< 0.7 "
"23","까치산",37.531768,126.846683,0.840415823357744,0.875715285414872,0.857396885853838,0.707413507975517,"Between","Between"
"24","까치울",37.506207,126.810939,0.864836827888397,0.880505331478906,0.872402712926807,0.700601569326392,"Between","Between"
"25","낙성대",37.47693,126.963693,0.144710353246636,0.150281804854211,0.14761356856228,0.130922327896768,"< 0.7","< 0.7 "
"26","남구로",37.486056,126.887249,0.878554919574891,0.873558444231663,0.875980113509906,0.64528086460425,"Between","< 0.7 "
"27","남성",37.484596,126.971251,0.842108858826264,0.857314719318293,0.84956954641718,0.707611944724692,"Between","Between"
"28","남태령",37.463873,126.989134,0.632352252256089,0.707568301279724,0.664890583618473,0.523784408701963,"< 0.7","< 0.7 "
"29","내방",37.487618,126.993513,0.873022313607781,0.876439502095649,0.874866736091123,0.712781338074291,"Between","Between"
"30","노원",37.655128,127.061368,0.828993456502651,0.79859540012506,0.810439575882048,0.66222629658279,"Between","< 0.7 "
"31","녹번",37.600927,126.935756,0.89096217630595,0.939371626050035,0.913166791017847,0.707488699454106,"> 0.9","Between"
"32","논현",37.511093,127.021415,0.89901784343634,0.890190507215262,0.893913357010346,0.736783264060945,"Between","Between"
"33","단대오거리",37.44521,127.156866,0.815965146741421,0.81629631375908,0.816130803257896,0.680154610973226,"Between","< 0.7 "
"34","답십리",37.566747,127.052704,0.860871447906809,0.872293651597906,0.866425790921623,0.679778595490878,"Between","< 0.7 "
"35","당고개",37.670272,127.079066,0.86992934166775,0.857370613405817,0.863910013296815,0.719364213888065,"Between","Between"
"36","당산",37.53438,126.902281,0.787953584095323,0.818530069503688,0.80414662628228,0.614051613229805,"Between","< 0.7 "
"37","대청",37.493514,127.079532,0.803378032699472,0.83323360578052,0.818444683510598,0.670001420611494,"Between","< 0.7 "
"38","대치",37.494612,127.063642,0.775020789737493,0.767547461446792,0.770871107258785,0.610674081940068,"Between","< 0.7 "
"39","도곡",37.490858,127.055381,0.816213638660071,0.801966863721586,0.808597994044505,0.617364789971323,"Between","< 0.7 "
"40","도림천",37.514287,126.882768,0.816044056906838,0.903027646234333,0.854585975377554,0.7891256328289,"Between","Between"
"41","도봉산",37.689313,127.046222,0.853948471849491,0.869878489129946,0.861261563657161,0.748316798705779,"Between","Between"
"42","독립문",37.574571,126.957748,0.79911983971861,0.788775815503049,0.793924057830914,0.576988284068496,"Between","< 0.7 "
"43","독바위",37.618456,126.933031,0.863066461923026,0.889380335264718,0.875478946011954,0.741878354968662,"Between","Between"
"44","돌곶이",37.610537,127.056431,0.8952838573681,0.899673290750149,0.897444145400305,0.76716307155894,"Between","Between"
"45","동대문",37.57142,127.009745,0.834891180853096,0.71776228113123,0.760369303872405,0.540867400389185,"Between","< 0.7 "
"46","동대입구",37.559052,127.005602,0.703955988320942,0.598326427293101,0.641760241783704,0.475699534164655,"< 0.7","< 0.7 "
"47","동묘앞",37.572627,127.016429,0.784692366091676,0.764769642293141,0.772591709409896,0.65428338251092,"Between","< 0.7 "
"48","둔촌동",37.527788,127.136248,0.833521764455516,0.819806765114702,0.826146534124329,0.650428856427303,"Between","< 0.7 "
"49","디지털미디어시티",37.576646,126.900984,0.868180146625774,0.880111317336259,0.873839900131719,0.669129188833192,"Between","< 0.7 "
"50","뚝섬",37.547184,127.047367,0.893576520273937,0.924954435415292,0.91095362645386,0.7236953833865,"> 0.9","Between"
"51","뚝섬유원지",37.53154,127.066704,0.840321915247463,0.849111090834211,0.845301181253624,0.637971052900504,"Between","< 0.7 "
"52","마곡",37.560183,126.825448,0.921144537930335,1.08320517749583,0.997420910838348,0.807727149260749,"> 0.9","Between"
